node_index,node_label,n_voxel,node_source
1,17Networks_LH_VisCent_ExStr_1,1149,Schaefer100
2,17Networks_LH_VisCent_ExStr_2,1590,Schaefer100
3,17Networks_LH_VisCent_Striate_1,946,Schaefer100
4,17Networks_LH_VisCent_ExStr_3,1870,Schaefer100
5,17Networks_LH_VisPeri_ExStrInf_1,947,Schaefer100
6,17Networks_LH_VisPeri_StriCal_1,1028,Schaefer100
7,17Networks_LH_VisPeri_ExStrSup_1,1083,Schaefer100
8,17Networks_LH_SomMotA_1,1776,Schaefer100
9,17Networks_LH_SomMotA_2,2380,Schaefer100
10,17Networks_LH_SomMotB_Aud_1,1505,Schaefer100
11,17Networks_LH_SomMotB_S2_1,530,Schaefer100
12,17Networks_LH_SomMotB_S2_2,1095,Schaefer100
13,17Networks_LH_SomMotB_Cent_1,1110,Schaefer100
14,17Networks_LH_DorsAttnA_TempOcc_1,2375,Schaefer100
15,17Networks_LH_DorsAttnA_ParOcc_1,943,Schaefer100
16,17Networks_LH_DorsAttnA_SPL_1,1735,Schaefer100
17,17Networks_LH_DorsAttnB_PostC_1,874,Schaefer100
18,17Networks_LH_DorsAttnB_PostC_2,547,Schaefer100
19,17Networks_LH_DorsAttnB_PostC_3,958,Schaefer100
20,17Networks_LH_DorsAttnB_FEF_1,1708,Schaefer100
21,17Networks_LH_SalVentAttnA_ParOper_1,1079,Schaefer100
22,17Networks_LH_SalVentAttnA_Ins_1,1061,Schaefer100
23,17Networks_LH_SalVentAttnA_Ins_2,834,Schaefer100
24,17Networks_LH_SalVentAttnA_ParMed_1,662,Schaefer100
25,17Networks_LH_SalVentAttnA_FrMed_1,1006,Schaefer100
26,17Networks_LH_SalVentAttnB_PFCl_1,1512,Schaefer100
27,17Networks_LH_SalVentAttnB_PFCmp_1,1590,Schaefer100
28,17Networks_LH_LimbicB_OFC_1,1998,Schaefer100
29,17Networks_LH_LimbicA_TempPole_1,2593,Schaefer100
30,17Networks_LH_LimbicA_TempPole_2,1712,Schaefer100
31,17Networks_LH_ContA_IPS_1,1343,Schaefer100
32,17Networks_LH_ContA_PFCl_1,1962,Schaefer100
33,17Networks_LH_ContA_PFCl_2,1155,Schaefer100
34,17Networks_LH_ContB_PFClv_1,1559,Schaefer100
35,17Networks_LH_ContC_pCun_1,550,Schaefer100
36,17Networks_LH_ContC_pCun_2,810,Schaefer100
37,17Networks_LH_ContC_Cingp_1,531,Schaefer100
38,17Networks_LH_DefaultA_PFCd_1,850,Schaefer100
39,17Networks_LH_DefaultA_pCunPCC_1,1315,Schaefer100
40,17Networks_LH_DefaultA_PFCm_1,1695,Schaefer100
41,17Networks_LH_DefaultB_Temp_1,2090,Schaefer100
42,17Networks_LH_DefaultB_Temp_2,1089,Schaefer100
43,17Networks_LH_DefaultB_IPL_1,2511,Schaefer100
44,17Networks_LH_DefaultB_PFCd_1,2591,Schaefer100
45,17Networks_LH_DefaultB_PFCl_1,935,Schaefer100
46,17Networks_LH_DefaultB_PFCv_1,709,Schaefer100
47,17Networks_LH_DefaultB_PFCv_2,2005,Schaefer100
48,17Networks_LH_DefaultC_Rsp_1,555,Schaefer100
49,17Networks_LH_DefaultC_PHC_1,794,Schaefer100
50,17Networks_LH_TempPar_1,896,Schaefer100
51,17Networks_RH_VisCent_ExStr_1,1637,Schaefer100
52,17Networks_RH_VisCent_ExStr_2,1917,Schaefer100
53,17Networks_RH_VisCent_ExStr_3,1425,Schaefer100
54,17Networks_RH_VisPeri_StriCal_1,1211,Schaefer100
55,17Networks_RH_VisPeri_ExStrInf_1,1335,Schaefer100
56,17Networks_RH_VisPeri_ExStrSup_1,1469,Schaefer100
57,17Networks_RH_SomMotA_1,382,Schaefer100
58,17Networks_RH_SomMotA_2,1058,Schaefer100
59,17Networks_RH_SomMotA_3,583,Schaefer100
60,17Networks_RH_SomMotA_4,2005,Schaefer100
61,17Networks_RH_SomMotB_Aud_1,1623,Schaefer100
62,17Networks_RH_SomMotB_S2_1,575,Schaefer100
63,17Networks_RH_SomMotB_S2_2,688,Schaefer100
64,17Networks_RH_SomMotB_Cent_1,805,Schaefer100
65,17Networks_RH_DorsAttnA_TempOcc_1,2088,Schaefer100
66,17Networks_RH_DorsAttnA_ParOcc_1,1603,Schaefer100
67,17Networks_RH_DorsAttnA_SPL_1,1853,Schaefer100
68,17Networks_RH_DorsAttnB_PostC_1,839,Schaefer100
69,17Networks_RH_DorsAttnB_PostC_2,1327,Schaefer100
70,17Networks_RH_DorsAttnB_FEF_1,1410,Schaefer100
71,17Networks_RH_SalVentAttnA_ParOper_1,1064,Schaefer100
72,17Networks_RH_SalVentAttnA_Ins_1,1635,Schaefer100
73,17Networks_RH_SalVentAttnA_ParMed_1,741,Schaefer100
74,17Networks_RH_SalVentAttnA_FrMed_1,1500,Schaefer100
75,17Networks_RH_SalVentAttnB_IPL_1,801,Schaefer100
76,17Networks_RH_SalVentAttnB_PFCl_1,1314,Schaefer100
77,17Networks_RH_SalVentAttnB_PFCmp_1,1237,Schaefer100
78,17Networks_RH_LimbicB_OFC_1,1978,Schaefer100
79,17Networks_RH_LimbicA_TempPole_1,3291,Schaefer100
80,17Networks_RH_ContA_IPS_1,1174,Schaefer100
81,17Networks_RH_ContA_PFCl_1,1395,Schaefer100
82,17Networks_RH_ContA_PFCl_2,1570,Schaefer100
83,17Networks_RH_ContB_Temp_1,1895,Schaefer100
84,17Networks_RH_ContB_IPL_1,1064,Schaefer100
85,17Networks_RH_ContB_PFCld_1,1458,Schaefer100
86,17Networks_RH_ContB_PFClv_1,2061,Schaefer100
87,17Networks_RH_ContC_Cingp_1,588,Schaefer100
88,17Networks_RH_ContC_pCun_1,1171,Schaefer100
89,17Networks_RH_DefaultA_IPL_1,1033,Schaefer100
90,17Networks_RH_DefaultA_PFCd_1,1245,Schaefer100
91,17Networks_RH_DefaultA_pCunPCC_1,819,Schaefer100
92,17Networks_RH_DefaultA_PFCm_1,1846,Schaefer100
93,17Networks_RH_DefaultB_PFCd_1,2209,Schaefer100
94,17Networks_RH_DefaultB_PFCv_1,823,Schaefer100
95,17Networks_RH_DefaultB_PFCv_2,1047,Schaefer100
96,17Networks_RH_DefaultC_Rsp_1,496,Schaefer100
97,17Networks_RH_DefaultC_PHC_1,1315,Schaefer100
98,17Networks_RH_TempPar_1,1108,Schaefer100
99,17Networks_RH_TempPar_2,1317,Schaefer100
100,17Networks_RH_TempPar_3,863,Schaefer100
