node_index,node_label,n_voxel,node_source
1,17Networks_LH_VisCent_ExStr_1,1127,Schaefer200
2,17Networks_LH_VisCent_ExStr_2,765,Schaefer200
3,17Networks_LH_VisCent_Striate_1,835,Schaefer200
4,17Networks_LH_VisCent_ExStr_3,793,Schaefer200
5,17Networks_LH_VisCent_ExStr_4,827,Schaefer200
6,17Networks_LH_VisCent_ExStr_5,787,Schaefer200
7,17Networks_LH_VisPeri_ExStrInf_1,545,Schaefer200
8,17Networks_LH_VisPeri_ExStrInf_2,517,Schaefer200
9,17Networks_LH_VisPeri_ExStrInf_3,163,Schaefer200
10,17Networks_LH_VisPeri_StriCal_1,940,Schaefer200
11,17Networks_LH_VisPeri_ExStrSup_1,339,Schaefer200
12,17Networks_LH_VisPeri_ExStrSup_2,1138,Schaefer200
13,17Networks_LH_SomMotA_1,544,Schaefer200
14,17Networks_LH_SomMotA_2,432,Schaefer200
15,17Networks_LH_SomMotA_3,548,Schaefer200
16,17Networks_LH_SomMotA_4,619,Schaefer200
17,17Networks_LH_SomMotA_5,369,Schaefer200
18,17Networks_LH_SomMotA_6,543,Schaefer200
19,17Networks_LH_SomMotA_7,1090,Schaefer200
20,17Networks_LH_SomMotA_8,290,Schaefer200
21,17Networks_LH_SomMotB_Aud_1,593,Schaefer200
22,17Networks_LH_SomMotB_Aud_2,793,Schaefer200
23,17Networks_LH_SomMotB_S2_1,495,Schaefer200
24,17Networks_LH_SomMotB_S2_2,648,Schaefer200
25,17Networks_LH_SomMotB_Aud_3,576,Schaefer200
26,17Networks_LH_SomMotB_S2_3,386,Schaefer200
27,17Networks_LH_SomMotB_Cent_1,846,Schaefer200
28,17Networks_LH_SomMotB_Cent_2,528,Schaefer200
29,17Networks_LH_DorsAttnA_TempOcc_1,1244,Schaefer200
30,17Networks_LH_DorsAttnA_TempOcc_2,727,Schaefer200
31,17Networks_LH_DorsAttnA_ParOcc_1,711,Schaefer200
32,17Networks_LH_DorsAttnA_SPL_1,569,Schaefer200
33,17Networks_LH_DorsAttnA_SPL_2,614,Schaefer200
34,17Networks_LH_DorsAttnA_SPL_3,328,Schaefer200
35,17Networks_LH_DorsAttnB_PostC_1,526,Schaefer200
36,17Networks_LH_DorsAttnB_PostC_2,408,Schaefer200
37,17Networks_LH_DorsAttnB_PostC_3,369,Schaefer200
38,17Networks_LH_DorsAttnB_PostC_4,629,Schaefer200
39,17Networks_LH_DorsAttnB_FEF_1,750,Schaefer200
40,17Networks_LH_SalVentAttnA_ParOper_1,695,Schaefer200
41,17Networks_LH_SalVentAttnA_Ins_1,706,Schaefer200
42,17Networks_LH_SalVentAttnA_FrOper_1,292,Schaefer200
43,17Networks_LH_SalVentAttnA_FrOper_2,495,Schaefer200
44,17Networks_LH_SalVentAttnA_ParMed_1,631,Schaefer200
45,17Networks_LH_SalVentAttnA_FrMed_1,782,Schaefer200
46,17Networks_LH_SalVentAttnA_FrMed_2,524,Schaefer200
47,17Networks_LH_SalVentAttnB_IPL_1,534,Schaefer200
48,17Networks_LH_SalVentAttnB_PFCl_1,1310,Schaefer200
49,17Networks_LH_SalVentAttnB_Ins_1,469,Schaefer200
50,17Networks_LH_SalVentAttnB_PFCmp_1,607,Schaefer200
51,17Networks_LH_LimbicB_OFC_1,527,Schaefer200
52,17Networks_LH_LimbicB_OFC_2,1329,Schaefer200
53,17Networks_LH_LimbicA_TempPole_1,890,Schaefer200
54,17Networks_LH_LimbicA_TempPole_2,1023,Schaefer200
55,17Networks_LH_LimbicA_TempPole_3,610,Schaefer200
56,17Networks_LH_LimbicA_TempPole_4,370,Schaefer200
57,17Networks_LH_ContA_Temp_1,631,Schaefer200
58,17Networks_LH_ContA_IPS_1,647,Schaefer200
59,17Networks_LH_ContA_IPS_2,430,Schaefer200
60,17Networks_LH_ContA_IPS_3,408,Schaefer200
61,17Networks_LH_ContA_PFCd_1,586,Schaefer200
62,17Networks_LH_ContA_PFClv_1,1260,Schaefer200
63,17Networks_LH_ContA_PFCl_1,829,Schaefer200
64,17Networks_LH_ContA_PFCl_2,414,Schaefer200
65,17Networks_LH_ContA_PFCl_3,671,Schaefer200
66,17Networks_LH_ContA_Cingm_1,164,Schaefer200
67,17Networks_LH_ContB_Temp_1,696,Schaefer200
68,17Networks_LH_ContB_IPL_1,455,Schaefer200
69,17Networks_LH_ContB_PFCl_1,680,Schaefer200
70,17Networks_LH_ContB_PFClv_1,607,Schaefer200
71,17Networks_LH_ContB_PFClv_2,727,Schaefer200
72,17Networks_LH_ContC_pCun_1,527,Schaefer200
73,17Networks_LH_ContC_pCun_2,662,Schaefer200
74,17Networks_LH_ContC_Cingp_1,208,Schaefer200
75,17Networks_LH_DefaultA_IPL_1,1073,Schaefer200
76,17Networks_LH_DefaultA_PFCd_1,861,Schaefer200
77,17Networks_LH_DefaultA_pCunPCC_1,702,Schaefer200
78,17Networks_LH_DefaultA_pCunPCC_2,429,Schaefer200
79,17Networks_LH_DefaultA_pCunPCC_3,588,Schaefer200
80,17Networks_LH_DefaultA_PFCm_1,557,Schaefer200
81,17Networks_LH_DefaultA_PFCm_2,1093,Schaefer200
82,17Networks_LH_DefaultA_PFCm_3,623,Schaefer200
83,17Networks_LH_DefaultB_Temp_1,1237,Schaefer200
84,17Networks_LH_DefaultB_Temp_2,777,Schaefer200
85,17Networks_LH_DefaultB_Temp_3,942,Schaefer200
86,17Networks_LH_DefaultB_Temp_4,787,Schaefer200
87,17Networks_LH_DefaultB_IPL_1,391,Schaefer200
88,17Networks_LH_DefaultB_PFCd_1,1015,Schaefer200
89,17Networks_LH_DefaultB_PFCd_2,730,Schaefer200
90,17Networks_LH_DefaultB_PFCd_3,689,Schaefer200
91,17Networks_LH_DefaultB_PFCd_4,686,Schaefer200
92,17Networks_LH_DefaultB_PFCv_1,585,Schaefer200
93,17Networks_LH_DefaultB_PFCv_2,539,Schaefer200
94,17Networks_LH_DefaultB_PFCv_3,438,Schaefer200
95,17Networks_LH_DefaultB_PFCv_4,842,Schaefer200
96,17Networks_LH_DefaultC_IPL_1,626,Schaefer200
97,17Networks_LH_DefaultC_Rsp_1,539,Schaefer200
98,17Networks_LH_DefaultC_PHC_1,692,Schaefer200
99,17Networks_LH_TempPar_1,806,Schaefer200
100,17Networks_LH_TempPar_2,547,Schaefer200
101,17Networks_RH_VisCent_ExStr_1,1288,Schaefer200
102,17Networks_RH_VisCent_ExStr_2,684,Schaefer200
103,17Networks_RH_VisCent_Striate_1,993,Schaefer200
104,17Networks_RH_VisCent_ExStr_3,1027,Schaefer200
105,17Networks_RH_VisCent_ExStr_4,680,Schaefer200
106,17Networks_RH_VisCent_ExStr_5,1198,Schaefer200
107,17Networks_RH_VisPeri_ExStrInf_1,659,Schaefer200
108,17Networks_RH_VisPeri_ExStrInf_2,377,Schaefer200
109,17Networks_RH_VisPeri_StriCal_1,759,Schaefer200
110,17Networks_RH_VisPeri_ExStrSup_1,385,Schaefer200
111,17Networks_RH_VisPeri_ExStrSup_2,683,Schaefer200
112,17Networks_RH_VisPeri_ExStrSup_3,461,Schaefer200
113,17Networks_RH_SomMotA_1,466,Schaefer200
114,17Networks_RH_SomMotA_2,399,Schaefer200
115,17Networks_RH_SomMotA_3,465,Schaefer200
116,17Networks_RH_SomMotA_4,357,Schaefer200
117,17Networks_RH_SomMotA_5,276,Schaefer200
118,17Networks_RH_SomMotA_6,528,Schaefer200
119,17Networks_RH_SomMotA_7,282,Schaefer200
120,17Networks_RH_SomMotA_8,655,Schaefer200
121,17Networks_RH_SomMotA_9,375,Schaefer200
122,17Networks_RH_SomMotA_10,692,Schaefer200
123,17Networks_RH_SomMotA_11,248,Schaefer200
124,17Networks_RH_SomMotB_Aud_1,602,Schaefer200
125,17Networks_RH_SomMotB_Aud_2,530,Schaefer200
126,17Networks_RH_SomMotB_S2_1,382,Schaefer200
127,17Networks_RH_SomMotB_S2_2,398,Schaefer200
128,17Networks_RH_SomMotB_S2_3,279,Schaefer200
129,17Networks_RH_SomMotB_S2_4,294,Schaefer200
130,17Networks_RH_SomMotB_Cent_1,771,Schaefer200
131,17Networks_RH_DorsAttnA_TempOcc_1,1196,Schaefer200
132,17Networks_RH_DorsAttnA_ParOcc_1,974,Schaefer200
133,17Networks_RH_DorsAttnA_SPL_1,814,Schaefer200
134,17Networks_RH_DorsAttnA_SPL_2,459,Schaefer200
135,17Networks_RH_DorsAttnA_SPL_3,555,Schaefer200
