node_index,node_label,n_voxel,node_source
1,HIP-head-m-rh,1040,TianScale3
2,HIP-head-l-rh,1728,TianScale3
3,HIP-body-rh,1584,TianScale3
4,HIP-tail-rh,848,TianScale3
5,THA-VPm-rh,704,TianScale3
6,THA-VPl-rh,784,TianScale3
7,THA-VAi-rh,2704,TianScale3
8,THA-VAs-rh,1808,TianScale3
9,THA-DAm-rh,1376,TianScale3
10,THA-DAl-rh,1056,TianScale3
11,PUT-VA-rh,1648,TianScale3
12,PUT-DA-rh,1656,TianScale3
13,PUT-VP-rh,1960,TianScale3
14,PUT-DP-rh,1920,TianScale3
15,CAU-VA-rh,968,TianScale3
16,CAU-DA-rh,1320,TianScale3
17,CAU-body-rh,856,TianScale3
18,CAU-tail-rh,336,TianScale3
19,lAMY-rh,1280,TianScale3
20,mAMY-rh,1520,TianScale3
21,THA-DP-rh,1608,TianScale3
22,NAc-shell-rh,928,TianScale3
23,NAc-core-rh,720,TianScale3
24,pGP-rh,720,TianScale3
25,aGP-rh,864,TianScale3
26,HIP-head-m-lh,1040,TianScale3
27,HIP-head-l-lh,1728,TianScale3
28,HIP-body-lh,1584,TianScale3
29,HIP-tail-lh,848,TianScale3
30,THA-VPm-lh,704,TianScale3
31,THA-VPl-lh,784,TianScale3
32,THA-VAi-lh,2704,TianScale3
33,THA-VAs-lh,1808,TianScale3
34,THA-DAm-lh,1376,TianScale3
35,THA-DAl-lh,1056,TianScale3
36,PUT-VA-lh,1648,TianScale3
37,PUT-DA-lh,1656,TianScale3
38,PUT-VP-lh,1960,TianScale3
39,PUT-DP-lh,1920,TianScale3
40,CAU-VA-lh,968,TianScale3
41,CAU-DA-lh,1320,TianScale3
42,CAU-body-lh,856,TianScale3
43,CAU-tail-lh,336,TianScale3
44,lAMY-lh,1280,TianScale3
45,mAMY-lh,1520,TianScale3
46,THA-DP-lh,1608,TianScale3
47,NAc-shell-lh,928,TianScale3
48,NAc-core-lh,720,TianScale3
49,pGP-lh,720,TianScale3
50,aGP-lh,864,TianScale3
